state,key,value
-,adilabad,8732,TS,adilabad,504001:504312:504308:504002
-,agra,562,UP,agra,282005:283126:282002:282008:282007:282006:282004:282003:282009:282010:282001
-,ahmedabad,79,GJ,ahmedabad,380210:382346:380050:380009:380045:382115:382410:380014:382425:380011:380024:380054:382442:382405:382325:380003:380018:380020:382427:999988:380057:382449:380015:387540:382470:380022:382324:380019:380058:382440:382418:382445:380008:380055:380010:380028:380027:382345:382352:380059:380025:382475:380063:382430:382350:380004:382428:382333:382330:380029:382340:382433:380005:382443:382481:382404:380051:380052:380330:380016:382424:380041:380017:382415:380002:380026:380023:380007:380053:380062:380013:382211:380061:382435:380001:380021:382480:380060:380006:382327
-,ahmednagar,241,MH,ahmednagar,414005:414112:414002:414601:414003:414201:414006:414111:414001:414004:414110
-,aizawl,389,MZ,aizawl,796001:796036:796014:796410:796005:796015:796009:796007:796012:796004:796008:796025:796017:796421
-,ajmer,145,RJ,ajmer,305008:305002:305006:305007:305025:305004:305022:305021:305001:305206:305005:305024:305003:305011:305023:305012:305009
-,akola,724,MH,akola,444003:444004:444109:444001:444401:444407:444405:444302:444002:444311:444308:444005:444102:444502:444104:444501:444006
-,alappuzha,477,KL,alappuzha,688564:688002:688532:688525:688523:688538:688511:688546:688011:688584:688531:688008:688512:688530:688533:688524:688009:688586:688544:688529:688566:688013:688558:688587:688536:688004:688502:688561:688508:688542:688567:688501:688541:688559:688543:688539:688001:688006:688010:688540:688556:688521:688527:688557:688012:688003:688014:688582:688526:688522:688545:688007:688528:688555:688505:688005:688554:688552
-,aligarh,571,UP,aligarh,204106:202150:202131:212128:202122:202127:202126:202155:202002:202129:202305:202281:202133:202128:202120:202004:202121:202280:202124:202282:202001:202145:202125:202130
-,alirajpur,7394,MP,alirajpur,457888:457990:457887:457893
-,almora,5962,UK,almora,263601:263620:263636:263643
-,alwar,144,RJ,alwar,301002:301025:301031:301026:301023:301028:301032:301030:301001
-,ambala,171,HR,ambala,134011:133003:133010:133004:133101:133002:133007:133005:134005:136135:134008:134007:133205:133006:133104:133021:136134:134002:134003:133202:133008:133201:133203:133001:134012:133102:133207:134001
-,amethi,5368,UP,amethi,230503:227411:227807:230125:227409:227412:227406:227405:230501:227413:227407
-,amravati,721,MH,amravati,444604:444802:444710:444603:444901:444602:444606:444701:444814:444605:444607:444601:444801:444608:444904
-,amreli,2792,GJ,amreli,364565:365610:365535:364540:365456:365430:365601:365455:365450:365440:365545
-,amritsar,183,PB,amritsar,143002:143010:143108:143009:143003:143106:143007:143026:143008:143104:143414:143004:143006:143601:143005:143022:143107:143021:143105:143066:143001
-,anand,2692,GJ,anand,388560:388540:388360:388336:388132:388480:388370:388340:388330:382712:388121:388001:387375:388545:388465:388315:388450:388308:388410:388110:388470:388051:388201:388421:388460:388307:388543:388325:388345:387220:388122:388305:388310:388320:387345:388120:388052:387315:388131:387325:387310:388140:388335:388520:388306:388355:388205:388544:388130:388365:388440:388510:388160:388350:387240:388105
-,anantapur,8554,AP,anantapur,515001:515435:515004:515003:515002:515701:515631:515425:515731:515005:515721
-,anantnag,1932,JK,anantnag,192221:192231:192211:192212:192101:192129:192201:192102:192401:192125:192233:192232:192124:192210:192305
-,anuppur,7659,MP,anuppur,484881:484224:484116:484887:484330:484220:484117:484886
-,araria,6453,BR,araria,854334:854333:854201:854311:854312:854329
-,ariyalur,4329,TN,ariyalur,621731:621729:621715:621704:621701:621714:621705:621718:621713:621653:621707
-,arwal,6337,BR,arwal,804426:804402:804419:804401:801110:802208:804430:804428
-,ashok nagar,7543,MP,ashok nagar,473332:473335:473331:473338:473330
-,auraiya,5683,UP,auraiya,206122:209125:285125:209715:206244:206247:206129
-,aurangabad,6186:240,MH,aurangabad,431003:431136:431007:430005:431005:431115:431102:431008:431004:415570:431009:431154:431133:431101:431010:431001:430006:431006:431002:431152:431210:431201
-,azamgarh,5462,UP,azamgarh,276204:276305:276201:276001:276301:223227:276302:223224:276406:276205:276303:276128:223226:276304:276202:223225:276207
-,bagalkot,8354,KA,bagalkot,587128:587102:587111:587126:587101:587103:587204:587205:587120
-,bageshwar,5963,UK,bageshwar,263632:263634:263642
-,bahraich,5252,UP,bahraich,271902:271806:271824:271801:271871:271875:271851:271870:271825:271872:271802
-,balaghat,7632,MP,balaghat,481102:481226:481115:481101:481001:481222
-,balangir,6652,OR,balangir,767002:767024:767005:767003:767001:767065
-,ballia,5498,UP,ballia,277306:277302:277301:277219:221715:277203:277124:221719:277303:277123:277210:277001:277202:277401:277405:221718:277207:221717:277304
-,balrampur,5263,UP,balrampur,271207:271605:271306:271604:271205:271609:271861:271607
-,banda,5192,UP,banda,210001:210123
-,bandipora,1957,JK,bandipora,193504:193501:193502
-,banka,6424,BR,banka,814131:813103:813124:813125:813126:813106:813101:813127:813211:813102
-,bankura,3242,WB,bankura,722203:722170:722152:722101:722102:722136:722133:722155:722174:722180:722179:722107:722146
-,banswara,2962,RJ,banswara,327007:327002:327025:327604:327603:327026:327032:327034:327601:327001
-,barabanki,524,UP,barabanki,225122:225123:225412:225301:225002:225203:225204:225003:225001:225121:225414
-,baramulla,1952,JK,baramulla,193301:193123:193122:193303:193402:193101:193103
-,baran,7453,RJ,baran,325601:325215:325209:325222:325202:325205:325602:325207
