lname,state,city,pincode,key
Kunigal_KhbColony_DPP (Karnataka),KA,Kunigal,572142,kunigal
PortBlair_Stewartgunj_DPP (Andaman & Nicobar),AN,Port Blair,744107,port blair
Aligarh_Iglas_D (Uttar Pradesh),UP,Aligarh,204106,aligarh
Haldwani_Kamaluaganja_D (Uttarakhand),UK,Haldwani,263126,haldwani
SawaiMadhopur_Kherda_D (Rajasthan),RJ,Sawai Madhopur,322701,sawai madhopur
Kuchinda_Pdrpada_D (Orissa),OR,Kuchinda,768107,kuchinda
Rosera_HanumanTemple_D (Bihar),BR,Rusera,848211,rusera
Golaghat_BaruaRd_D (Assam),AS,Golaghat,785622,golaghat
Sirsi_CPBazar_DPP (Karnataka),KA,Sirsi,581403,sirsi
Vizianagaram_Svnnagar_D (Andhra Pradesh),AP,Vizianagaram,535002,vizianagaram
Rupnarayanpur_Salanpur_D (West Bengal),WB,Rupnarayanpur,713375,rupnarayanpur
Korba_Laluramnagar_D (Chhattisgarh),CG,Korba,495678,korba
Vrindavan_Jait_D (Uttar Pradesh),UP,Vrindavan,281204,vrindavan
Poonchh_AranchRd_D (Uttar Pradesh),UP,Poonchh,284302,poonchh
Gooty_ATPRoad_D (Andhra Pradesh),AP,Gooty,515611,gooty
Jajpur_KniprDPP_D (Orissa),OR,Jajpur,755022,jajpur
Pandariya_HariNala_D (Chhattisgarh),CG,Pandariya,491559,pandariya
ShahpuraMP_Gopalnagar_DPP (Madhya Pradesh),MP,ShahpuraMP,481990,shahpuramp
Nokha_KbEnclave_DPP (Rajasthan),RJ,Nokha,334803,nokha
Saharanpur_Chidbana_P (Uttar Pradesh),UP,Saharanpur,247669,saharanpur
Bandikui_Mukarpura_D (Rajasthan),RJ,Bandikui,303315,bandikui
Cochin_Kdvantra_D (Kerala),KL,Cochin,682036,cochin
Ramanagara_KunigalRd_D (Karnataka),KA,Ramanagara,561201,ramanagara
Baijnath_Paprola_DPP (Himachal Pradesh),HP,Baijnath,176115,baijnath
Ambur_Gandhinagar_D (Tamil Nadu),TN,Ambur,635814,ambur
Kumta_Central_DPP_2 (Karnataka),KA,Kumta,581332,kumta
Karauli_Subhashnagar_D (Rajasthan),RJ,Karauli,322241,karauli
Jangaon_Batkamakunta_D (Telangana),TS,Jangaon,506201,jangaon
Jaipur_Mansrover_R (Rajasthan),RJ,Jaipur,302024,jaipur
Lalitpur_Govindnagar_D (Uttar Pradesh),UP,Lalitpur,284501,lalitpur
Hyderabad_Kothapet_C (Telangana),TS,Hyderabad,500097,hyderabad
BD_Khulna_SIRoad_D (Khulna),KH,Khulna,9206,khulna
Baihata_Sundhia_D (Assam),AS,Baihata,781354,baihata
Anantnag_Qazigund_D (Jammu & Kashmir),JK,Anantnag,192221,anantnag
Rajpura_NavyugColony_D (Punjab),PB,Rajpura,140601,rajpura
Akkalkot_SmrathNgr_DPP (Maharashtra),MH,Akkalkot,413226,akkalkot
Saharanpur_Chidbana_P (Uttar Pradesh),UP,Saharanpur,247001,saharanpur
Jalandhar_QajiMandi_P (Punjab),PB,Jalandhar,144010,jalandhar
Ambasamudram_DRSColony_D (Tamil Nadu),TN,Ambasamudram,627853,ambasamudram
Visakhapatnam_Asilmetta_D (Andhra Pradesh),AP,Visakhapatnam,530035,visakhapatnam
Chitrakoot_SitaprMafi_DPP (Uttar Pradesh),UP,Chitrakoot,210205,chitrakoot
BD_Rangpur_Jcmpny_D (Rangpur),RP,Rangpur,5450,rangpur
Wyra_Thallada_D (Telangana),TS,Wyra,507168,wyra
Gingee_KVKThtr_D (Tamil Nadu),TN,Gingee,604153,gingee
Umreth_PltinumPlza_DPP (Gujarat),GJ,Umreth,388230,umreth
Ranikhet_KhariBazar_DPP (Uttarakhand),UK,Ranikhet,263651,ranikhet
Sirsi_CPBazar_DPP (Karnataka),KA,Sirsi,581402,sirsi
Chodavaram_Narasayyapeta_D (Andhra Pradesh),AP,Chodavaram,531026,chodavaram
Karimganj_Gorkapan_D (Assam),AS,Karimganj,788702,karimganj
Barpeta_ShaktiNagar_C (Assam),AS,Barpeta,781318,barpeta
Thelamara_NilachalPath_D (Assam),AS,Thelamara,784111,thelamara
BD_Dhaka_Banani_P (Dhaka-BD),BA,Jhalokathi,8402,jhalokathi
Kunnathur_Vinayagartemple_DPP (Tamil Nadu),TN,Kunnathur,638054,kunnathur
Alur_VaddeStreet_D (Andhra Pradesh),AP,Alur,518348,alur
Patna_Shahpur_D (Bihar),BR,Patna,800027,patna
Sonari_Sepekhati_D (Assam),AS,Sonari,785691,sonari
Mumbai_Turbhe_C (Maharashtra),MH,Navi mumbai,410209,navi mumbai
Tada_Sriharikota_D (Andhra Pradesh),AP,Tada,517588,tada
DoomDooma_Pthrgoan_D (Assam),AS,Doom Dooma,786190,doom dooma
Fatehabad_SirsaRd_D (Haryana),HR,Fatehabad,125053,fatehabad
Rath_Saina_D (Uttar Pradesh),UP,Rath,210431,rath
Narasannapeta_SridviNgr_D (Andhra Pradesh),AP,Narasannapeta,532425,narasannapeta
Alephata_BhrtPetrol_D (Maharashtra),MH,Alephata,412412,alephata
Coimbatore_Vellakinar_C (Tamil Nadu),TN,Coimbatore,641402,coimbatore
Jawali_BhaneiLubh_DPP (Himachal Pradesh),HP,Jawali,176025,jawali
Bandikui_Mukarpura_D (Rajasthan),RJ,Bandikui,303314,bandikui
Marthandam_Arumanai_D (Tamil Nadu),TN,Marthandam,629152,marthandam
Sindagi_BandalRd_D (Karnataka),KA,Sindagi,586128,sindagi
Hyderabad_Kothapet_C (Telangana),TS,Hyderabad,500079,hyderabad
Kanchipuram_ThrvllvrNgr_D (Tamil Nadu),TN,Kanchipuram,631602,kanchipuram
Sewarhi_Pachimptti_D (Uttar Pradesh),UP,Sewarhi,274409,sewarhi
BD_Dhaka_Banani_D (Dhaka-BD),DK,Dhaka-BD,951750,dhaka-bd
Meerut_Dimoli_R (Uttar Pradesh),UP,Meerut,250103,meerut
Akhnoor_MiltryHosp_D (Jammu & Kashmir),JK,Akhnoor,181206,akhnoor
Anantapur_Venugopalnagar_D (Andhra Pradesh),AP,Anantapur,515001,anantapur
Chennai_Guindy_C (Tamil Nadu),TN,Chennai,600045,chennai
Barauni_Wardno10_D (Bihar),BR,Barauni,851135,barauni
Udumalaipettai_Gangthrn_D (Tamil Nadu),TN,Udumalaipettai,642204,udumalaipettai
Nadoti_Ibrahimpur_D (Rajasthan),RJ,Nadoti,322215,nadoti
Umarkhed_HubeCplx_D (Maharashtra),MH,Umarkhed,431743,umarkhed
Gulbarga_NirmaColony_D (Karnataka),KA,Gulbarga,585213,gulbarga
Pune_Dhanori_C (Maharashtra),MH,Pune,412217,pune
Amritsar_VerkaBypss_I (Punjab),PB,Amritsar,143002,amritsar
Goh_Golapar_D (Bihar),BR,Goh,821114,goh
Rajgir_Naipokhar_D (Bihar),BR,Rajgir,803117,rajgir
Nanoor_Central_DPP_1 (West Bengal),WB,Nanoor,731240,nanoor
Ilkal_Ward4_D (Karnataka),KA,Ilkal,587202,ilkal
Rajpipla_DSPOffice_DPP (Gujarat),GJ,Rajpipla,391121,rajpipla
Sivakasi_Senayapuram_D (Tamil Nadu),TN,Sivakasi,626183,sivakasi
Meerut_Dimoli_R (Uttar Pradesh),UP,Daurala,250222,daurala
Thiruvarur_Madappuram_DPP (Tamil Nadu),TN,Thiruvarur,610104,thiruvarur
Vadnagar_BsstdDPP_D (Gujarat),GJ,Vadnagar,384325,vadnagar
Kattappana_Plamood_D (Kerala),KL,Kattappana,685507,kattappana
Palakollu_Venkateswara_DPP (Andhra Pradesh),AP,Palakollu,534260,palakollu
Kumbakonam_Perumndi_D (Tamil Nadu),TN,Kumbakonam,612605,kumbakonam
Thrissur_Koonammoochi_D (Kerala),KL,Thrissur,680524,thrissur
Upleta_KolkiRd_DPP (Gujarat),GJ,Upleta,360470,upleta
Kshrngr_Dhrpl_DPP (Orissa),OR,Kishorenagar,759125,kishorenagar
Bihta_Kateshwar_D (Bihar),BR,Bihta,800111,bihta
Chikiti_Bapujeenagar_DPP (Orissa),OR,Chikiti,761209,chikiti
Bacchawaran_BhuyianTemple_D (Uttar Pradesh),UP,Bacchawaran,209821,bacchawaran
Dhaka_PachpakriRd_D (Bihar),BR,Dhaka,845415,dhaka
Mudarangady_Santhoor_DPP (Karnataka),KA,Mudarangady,574111,mudarangady
Jaunpur_Chachakpur_D (Uttar Pradesh),UP,Jaunpur,222132,jaunpur
Narnaul_MamrajColony_D (Haryana),HR,Narnaul,123021,narnaul
Nazira_Amina_D (Assam),AS,Nazira,785687,nazira
Dholi_WardNo4_D (Bihar),BR,Dholi,843104,dholi
Mathabhanga_Pachagarh_D (West Bengal),WB,Mathabhanga,736146,mathabhanga
Bandikui_Mukarpura_D (Rajasthan),RJ,Bandikui,303508,bandikui
Koothattukulam_Oliyappuram_D (Kerala),KL,Koothattukulam,686667,koothattukulam
Draksharamam_Anaipeta_D (Andhra Pradesh),AP,Draksharamam,533256,draksharamam
Kinnaur_Kamru_DPP (Himachal Pradesh),HP,Kinnaur,172106,kinnaur
Proddatur_Jammalamadugu_DPP (Andhra Pradesh),AP,Proddatur,516434,proddatur
Barrackpore_Lalkuti_D (West Bengal),WB,Barrackpore,743203,barrackpore
Tiruchi_TollPlaza_D (Tamil Nadu),TN,Tiruchi,621703,tiruchi
Bangalore_Koralur_R (Karnataka),KA,Bangalore,560105,bangalore
Pala_PonadKaroor_D (Kerala),KL,Pala,686523,pala
Dakshinkhanda_BusStand_DPP (West Bengal),WB,Ghanashyampur,742404,ghanashyampur
Chenani_Ward3_D (Jammu & Kashmir),JK,Chenani,182142,chenani
Vitla_FawzBuldng_DPP (Karnataka),KA,Vitla,574235,vitla
RajgarhMP_Jirapur_D (Madhya Pradesh),MP,Rajgarh-MP,465691,rajgarh-mp
Kasaragod_Muttathody_D (Kerala),KL,Kasaragod,671551,kasaragod
Jaipur_Mansrover_R (Rajasthan),RJ,Jaipur,302034,jaipur
Malerkotla_Sajidacolony_D (Punjab),PB,Malerkotla,148020,malerkotla
Roorkee_Dc (Uttarakhand),UK,Roorkee,247664,roorkee
Narasaraopet_SBalajiNgr_D (Andhra Pradesh),AP,Narasaraopet,533226,narasaraopet
Latehar_Sasang_DPP (Jharkhand),JH,Latehar,829207,latehar
Saraiya_Saraiya_D (Bihar),BR,Saraiya,841215,saraiya
Bikaner_Pawanpuri_D (Rajasthan),RJ,Bikaner,334003,bikaner
BD_Dhaka_Banani_P (Dhaka-BD),CA,Feni,4310,feni
Jagdishpur_Canbank_D (Uttar Pradesh),UP,Jagdishpur-UP,227811,jagdishpur-up
Machilipatnam_Ward16_D (Andhra Pradesh),AP,Machilipatnam,521126,machilipatnam
Kottarakkara_MythriNagar_D (Kerala),KL,Kottarakkara,691560,kottarakkara
Ludhiana_Pawa_R (Punjab),PB,Ludhiana,141015,ludhiana
Chandigarh_Raiprkln_C (Chandigarh),PB,Zirakpur,134110,zirakpur
Jorhat_Rajatiagaon_D (Assam),AS,Jorhat,785005,jorhat
Bayad_PwnPlza_D (Gujarat),GJ,Bayad,383340,bayad
Dhamtari_VasiniWard_D (Chhattisgarh),CG,Dhamtari,491227,dhamtari
Chittaurgarh_LovkushNgr_D (Rajasthan),RJ,Chittaurgarh,312612,chittaurgarh
Jaipur_Mansrover_R (Rajasthan),RJ,Jaipur,320006,jaipur
Sadat_Town_DPP (Uttar Pradesh),UP,SADAT,275204,sadat
Machhiwara_MnBzrDPP_D (Punjab),PB,Machhiwara,141125,machhiwara
Anantnag_Kulgam_DPP (Jammu & Kashmir),JK,Anantnag,192231,anantnag
Raichur_LSRoad_DC (Karnataka),KA,Raichur,584102,raichur
Hyderabad_Chikdply_C (Telangana),TS,Hyderabad,500061,hyderabad
Balrampur_SahabNager_D (Uttar Pradesh),UP,Balrampur,271207,balrampur
Seraikella_Laharitola_D (Jharkhand),JH,Seraikella,833219,seraikella
KalyanpurBR_Ladaura_D (Bihar),BR,KalyanpurBR,848125,kalyanpurbr
Lonavala_Talegaondabhade_DPP (Maharashtra),MH,Lonavala,410506,lonavala
Bharmour_Garola_D (Himachal Pradesh),HP,Bharmour,176311,bharmour
Nanjangud_RPRoad_D (Karnataka),KA,Nanjangud,571118,nanjangud
Trivandrum_Pettah_D (Kerala),KL,Thiruvananthapuram,695035,thiruvananthapuram
Shillong_Smit_DPP (Meghalaya),ML,Shillong,793015,shillong
Howrah_Shibpur_C (West Bengal),WB,Dankuni,712234,dankuni
Lakhimpur_FunMall_D (Uttar Pradesh),UP,Lakhimpur,262725,lakhimpur
Yavatmal_JajuDPP_D (Maharashtra),MH,Yavatmal,445002,yavatmal
Panruti_Thiruvathigai_D (Tamil Nadu),TN,Panruti,607104,panruti
Bhatewar_HoliChowk_DPP (Rajasthan),RJ,Bhatewar,313601,bhatewar
Barauni_Wardno10_D (Bihar),BR,Barauni,851120,barauni
Bathinda_ModeltownPh1_D (Punjab),PB,Bathinda,151005,bathinda
Venjaramoodu_ARStower_D (Kerala),KL,Venjaramoodu,695607,venjaramoodu
Manteswar_MemariRD_D (West Bengal),WB,Manteswar,713426,manteswar
Udaipurwati_DaduMndr_D (Rajasthan),RJ,Udaipurwati,333308,udaipurwati
Noida_Sector59_R (Uttar Pradesh),UP,Noida,201318,noida
Porbandar_Vadiplot_D (Gujarat),GJ,Porbandar,360575,porbandar
Berhampore_Raninagar_D (West Bengal),WB,Baharampur,742102,baharampur
Ramgarh_Marar_D (Jharkhand),JH,Ramgarh,825101,ramgarh
Kollam_Kilikollur_D (Kerala),KL,Kollam,691005,kollam
BD_Dhaka_Banani_P (Dhaka-BD),DK,Rajbari,7721,rajbari
Srinagar_KothiBagh_DPP (Jammu & Kashmir),JK,Srinagar,190014,srinagar
Lakhnadon_Dhanora_DPP (Madhya Pradesh),MP,Lakhnadon,480997,lakhnadon
Byndoor_Krmnjshwra_DPP (Karnataka),KA,Byndoor,576220,byndoor
Tiruvanamalai_VelNagar_D (Tamil Nadu),TN,Tiruvannamalai,606804,tiruvannamalai
Armoor_Mamidipillay_D (Telangana),TS,Armoor,503311,armoor
Baraut_OmNagar_D (Uttar Pradesh),UP,Baraut,250611,baraut
Jamshedpur_Mango_D (Jharkhand),JH,Jamshedpur,831012,jamshedpur
Bangalore_PrasantiNagar_C (Karnataka),KA,Bangalore,560116,bangalore
Kottayam_Perumbaikad_D (Kerala),KL,Kottayam,686638,kottayam
Thrissur_Koonammoochi_D (Kerala),KL,Thrissur,680615,thrissur
BD_Dhaka_Banani_P (Dhaka-BD),KH,Kushtia,7110,kushtia
Ajmer_ShivMandir_D (Rajasthan),RJ,Ajmer,305008,ajmer
BD_Habiganj_Chirakandi_D (Sylhet),SH,Habiganj,3331,habiganj
Karad_SiddhivinayakM_D (Maharashtra),MH,Karad,415539,karad
Jorhat_Rajatiagaon_D (Assam),AS,Jorhat,785002,jorhat
Nagothane_Balsaital_D (Maharashtra),MH,Nagothane,402109,nagothane
Badami_SarafBazar_DPP (Karnataka),KA,Badami,587201,badami
Faridabad_Sector27_R (Haryana),DL,Delhi,110068,delhi
Panskura_Central_D_3 (West Bengal),WB,Panskura,721156,panskura
Mallapur_ShtDRDPP_D (Karnataka),KA,Mallapur,581396,mallapur
Tirupati (Andhra Pradesh),AP,Tirupati,517102,tirupati
Krishnarajpet_JayaNagar_D (Karnataka),KA,Krishnarajpet,571812,krishnarajpet
Naihati_Jagatdal_DPP (West Bengal),WB,Naihati,743133,naihati
ParavurN_Kedamagalam_D (Kerala),KL,North Paravur,683522,north paravur
Bangalore_Koralur_R (Karnataka),KA,Bangalore,560066,bangalore
Manipal_Shivalli_D (Karnataka),KA,Manipal,576107,manipal
Kolkata_Belghoria_C (West Bengal),WB,Kolkata,700059,kolkata
Karukachal_Nedumkunam_D (Kerala),KL,Karukachal,686521,karukachal
Jogipet_Andole_D (Telangana),TS,Jogipet,502270,jogipet
Vallior_Radhaprm_D (Tamil Nadu),TN,Vallioor,627131,vallioor
Washim_Patilnagar_DPP (Maharashtra),MH,Washim,444505,washim
CCU_Purbalok_CP (West Bengal),WB,Kolkata,700086,kolkata
Falna_Khudala_DPP (Rajasthan),RJ,Falna,306705,falna
Bhubaneswar_Chandrasekharpur_D (Orissa),OR,Bhubaneshwar,751027,bhubaneshwar
Haripad_Sivakripa_D (Kerala),KL,Haripad,690560,haripad
Aurai_College_D (Bihar),BR,Aurai,843161,aurai
Sankaramangalam_Pattithara_D (Kerala),KL,Sankaramangalam,679337,sankaramangalam
Jodhpur_BasniPhase2_P (Rajasthan),RJ,Jodhpur,342007,jodhpur
Neyatinkra_Arlumodu_D (Kerala),KL,Neyyattinkara,695122,neyyattinkara
Chitradurga_Bankcolony_D (Karnataka),KA,Chitradurga,577502,chitradurga
Nirakarpur_Rameswar_D (Orissa),OR,Nirakarpur,752018,nirakarpur
Narsampet_PakhalRoad_D (Telangana),TS,Narsampet,506122,narsampet
Kerakat_KaliMandirDPP_D (Uttar Pradesh),UP,Chandwak,222148,chandwak
Coonoor_Vannarpet_D (Tamil Nadu),TN,Coonoor,643232,coonoor
Dahod_Vanzarwada_D (Gujarat),GJ,Dahod,389152,dahod
Canacona_Shristal_D (Goa),GA,Canacona,403703,canacona
Soegaon_Shivajinagar_DPP (Maharashtra),MH,Soegaon,431120,soegaon
Holenarasipur_Badavane_DPP (Karnataka),KA,Holenarasipur,573210,holenarasipur
LK_Batticaloa_ StnCrsRd_D (Eastern),ES,Batticaloa,30000,batticaloa
Phagwara_PurewalNgr_D (Punjab),PB,Phagwara,144409,phagwara
Nahan_Renukaji_D (Himachal Pradesh),HP,Nahan,173022,nahan
Pipili_BPRd_DPP (Orissa),OR,Pipili,752015,pipili
Nasvadi_KNRd_DPP (Gujarat),GJ,Nasvadi,391152,nasvadi
Chetpet_PoliceStn_DPP (Tamil Nadu),TN,Chetpet,606807,chetpet
Solan_SayriGhat_DPP (Himachal Pradesh),HP,Solan,173222,solan
Jhajjar_Policeline_D (Haryana),HR,Jhajjar,124101,jhajjar
Mandla_Nainpur_D (Madhya Pradesh),MP,Mandla,481776,mandla
Kachhera_Timber_DPP (Himachal Pradesh),HP,Kachhera,176088,kachhera
Noida_Sector59_R (Uttar Pradesh),UP,Noida,201313,noida
Udumalaipettai_Gangthrn_D (Tamil Nadu),TN,Udumalaipettai,642126,udumalaipettai
Guwahati_Borjhar_D (Assam),AS,Guwahati,781013,guwahati
Hyderabad_Chikdply_C (Telangana),TS,Hyderabad,500105,hyderabad
Chandigarh_Raiprkln_C (Chandigarh),PB,Zirakpur,134109,zirakpur
Armoor_Mamidipillay_D (Telangana),TS,Armoor,503224,armoor
Bokaro_Chas_D (Jharkhand),JH,Bokaro,827013,bokaro
Pandua_NvplyDPP_D (West Bengal),WB,Pandua,712149,pandua
Hailakandi_Lala_D (Assam),AS,Hailakandi,788163,hailakandi
Gadag_TajNagar_D (Karnataka),KA,Gadag,582204,gadag
Bonakal_SaiNagar_D (Telangana),TS,Bonakal,521402,bonakal
Arani_PolurRd_D (Tamil Nadu),TN,Arani,632504,arani
Kozhenchery_Naranganam_D (Kerala),KL,Kozhenchery,689548,kozhenchery
Thenzawl_Vengthlng_D (Mizoram),MZ,Thenzawl,796186,thenzawl
Markapur_Kankanalapalle_DPP (Andhra Pradesh),AP,Markapur,523326,markapur
BD_Dhaka_Banani_P (Dhaka-BD),DK,Munshiganj,1551,munshiganj
Arimbur_Elthuruth_D (Kerala),KL,Arimbur,680016,arimbur
Thuckalay_RajamonyHosp_D (Tamil Nadu),TN,Thuckalay,629803,thuckalay
BD_Netrakona_Mokterpara_D (Mymensingh),MS,Netrakona,2401,netrakona
Pennadam_Puthar_D (Tamil Nadu),TN,Pennadam,606111,pennadam
Bhubaneshwar_Indrahousing_D (Orissa),OR,Bhubaneshwar,751002,bhubaneshwar
Delhi_MayapuriPhase1_R (Delhi),DL,Delhi,110027,delhi
Tekkali_Tolusurapalli_D (Andhra Pradesh),AP,Tekkali,532195,tekkali
Rajmahal_Kasimbazar_DPP (Jharkhand),JH,Rajmahal,816116,rajmahal
Guntur_Gajulapalem_D (Andhra Pradesh),AP,Guntur,522341,guntur
Dharmapuri_Agrinagar_D (Tamil Nadu),TN,Dharmapuri,636701,dharmapuri
Yerrupalem_Kesavapuram_DPP (Telangana),TS,Yerrupalem,507201,yerrupalem
Jhargram_Raghunathpur_DPP (West Bengal),WB,Jhargram,721504,jhargram
Garhshankar_BangaRoad_D (Punjab),PB,Garhshanker,144528,garhshanker
Sivasagar_Pdinnagar_D (Assam),AS,Sivasagar,785663,sivasagar
Belgaum_Hukkeri_DPP (Karnataka),KA,Belgaum,591246,belgaum
Kalna_BsStdDPP_D (West Bengal),WB,Kalna,713157,kalna
Sohagi_PoliceThane_D (Madhya Pradesh),MP,Sohagi,486223,sohagi
Hazaribagh_Matwari_D (Jharkhand),JH,hazaribagh,825302,hazaribagh
Mehkar_RehmntNgr_DPP (Maharashtra),MH,Mehkar,443301,mehkar
Basti_GandhiNagar_D (Uttar Pradesh),UP,Basti,272001,basti
Delhi_MayapuriPhase1_R (Delhi),DL,Delhi,110102,delhi
Rajapalayam_Madathuppatti_D (Tamil Nadu),TN,Rajapalayam,626122,rajapalayam
BD_Dhaka_Banani_P (Dhaka-BD),CA,Cumilla ,3503,cumilla 
Indore_ShankarBagh_D (Madhya Pradesh),MP,Indore,453112,indore
Khanakul_Antngr_D (West Bengal),WB,Khanakul,712417,khanakul
