lname,state,city,pincode,key
Morigaon_Ward11_D (Assam),AS,Morigaon,782106,morigaon
Fatehabad_Bah_D (Uttar Pradesh),UP,Fatehabad-UP,283113,fatehabad-up
Asangaon_Adarshnagar_D (Maharashtra),MH,Asangaon,421601,asangaon
WarangaPhata_Kalamnuri_D (Maharashtra),MH,Waranga Phata,431701,waranga phata
Salur_PatasalaSt_D (Andhra Pradesh),AP,Salur,535592,salur
Surat_Brpc (Gujarat),GJ,Surat,394515,surat
Nakashipara_MaxDPP_D (West Bengal),WB,Nakashipara,741137,nakashipara
Tamulpur_Kalakuchi_D (Assam),AS,Tamulpur,781360,tamulpur
Barbil_PunjbiPd_D (Orissa),OR,Barbil,758040,barbil
Bhanjanagar_Laxmivihar_D (Orissa),OR,Bhanjanagar,761131,bhanjanagar
Sringeri_Kalmetlu_DPP (Karnataka),KA,Sringeri,577112,sringeri
Betamcherla_Bngnpalle_D (Andhra Pradesh),AP,Banaganapalli,518186,banaganapalli
Bagalkot_NavaNgr_D (Karnataka),KA,Bagalkot,587128,bagalkot
Sivaganga_Wardno3_D (Tamil Nadu),TN,Sivaganga,630565,sivaganga
Coonoor_Vannarpet_D (Tamil Nadu),TN,Coonoor,643203,coonoor
Ahmednagar_Kedgaon_D (Maharashtra),MH,Ahmednagar,414005,ahmednagar
Pooh_Spillow_D (Himachal Pradesh),HP,Pooh,172111,pooh
BD_Dhaka_Banani_P (Dhaka-BD),DK,Dhaka-BD,110000,dhaka-bd
Madanapalle_RNaiduClny_D (Andhra Pradesh),AP,Madanapalle,517350,madanapalle
Nawanshahr_FrndsClny_D (Punjab),PB,Nawanshahr,144505,nawanshahr
Sivaganga_Wardno3_D (Tamil Nadu),TN,Sivaganga,630321,sivaganga
Ahmedabad_Odhavestate_C (Gujarat),GJ,Ahmedabad,380045,ahmedabad
Gumkhal_RishikeshRd_D (Uttarakhand),UK,Gumkhal,246162,gumkhal
Vadodara_Savli_DPP (Gujarat),GJ,Vadodara,391774,vadodara
BD_Dhaka_Banani_P (Dhaka-BD),DK,Dhaka-BD,100040,dhaka-bd
Srinagar_Bemina_D (Jammu & Kashmir),JK,Srinagar,190012,srinagar
Khair_DhundhiNagla_D (Uttar Pradesh),UP,Khair,281201,khair
Dhaka_PachpakriRd_D (Bihar),BR,Dhaka,845427,dhaka
Chandigarh_Raiprkln_C (Chandigarh),PB,Mohali,160057,mohali
Edavanna_MNRd_D (Kerala),KL,Edavanna,679329,edavanna
Ponnamaravathi_Nattukkal_D (Tamil Nadu),TN,Ponnamaravathi,630502,ponnamaravathi
Virudhunagar_Allampatti_DPP (Tamil Nadu),TN,Virudhunagar,626104,virudhunagar
Karambakkudi_Central_D (Tamil Nadu),TN,Karambakkudi,622302,karambakkudi
Ranipet_Gandhinagar_D (Tamil Nadu),TN,Ranipet,632501,ranipet
Bina_Srvdycwk_D (Madhya Pradesh),MP,Bina,470124,bina
Kolkata_Belghoria_C (West Bengal),WB,Kolkata,700160,kolkata
Ahmedabad_Thaltej_C (Gujarat),GJ,Ahmedabad,382115,ahmedabad
Sanand_Kolatroad_D (Gujarat),GJ,Sanand,382110,sanand
Kheragarh_Shivmndr_D (Uttar Pradesh),UP,Kheragarh,283124,kheragarh
BD_Tangail_Simultoli_D (Dhaka-BD),DK,Tangail,1903,tangail
Dindigul_Kottapatti_D (Tamil Nadu),TN,Dindigul,624802,dindigul
Delhi_UdhyogNgr_R (Delhi),DL,Delhi,110034,delhi
Utnoor_MNCLRd_D (Telangana),TS,Utnoor,504311,utnoor
Ranchha_Khutar_DPP (Madhya Pradesh),MP,Ranchha,484665,ranchha
Pondicherry_Pudukuppam_D (Pondicherry),PU,Pondicherry,605652,pondicherry
Chandikhol_Gandhichhak_D (Orissa),OR,Chandikhol,755041,chandikhol
Jabalpur_GoleBazar_D (Madhya Pradesh),MP,Jabalpur,482021,jabalpur
Gonikoppal_Kaikeri_DPP (Karnataka),KA,Gonikoppal,571253,gonikoppal
Dharmabad_BalajiNgr_D (Maharashtra),MH,Dharmabad,431809,dharmabad
Koyyuru_KoyuruRd_DPP (Andhra Pradesh),AP,Koyyuru,533436,koyyuru
Kozhenchery_Naranganam_D (Kerala),KL,Kozhenchery,689643,kozhenchery
Amarwara_Ward14_D (Madhya Pradesh),MP,Amarwara,480224,amarwara
BD_Dhaka_Banani_P (Dhaka-BD),DK,tangail,1990,tangail
Mohammadabad_PoliceStatn_DPP (Uttar Pradesh),UP,Mohammadabad,233301,mohammadabad
Arakkonam_Ramdasnagar_D (Tamil Nadu),TN,Arakkonam,631006,arakkonam
Durg_KohkaRd_D (Chhattisgarh),CG,Durg,490010,durg
Mumbai_GokulNagar_D (Maharashtra),MH,Greater Thane,421300,greater thane
Neemuch_MhowRd_D (Madhya Pradesh),MP,Neemuch,458474,neemuch
Kaliabor_Hatiakhowa_DPP (Assam),AS,Kaliabor,782137,kaliabor
Shanivarasanthe_Bank_D (Karnataka),KA,Shanivarasanthe,573137,shanivarasanthe
Manipal_Chanthar_D (Karnataka),KA,Manipal,576218,manipal
Cheyyar_NehruNGR_D (Tamil Nadu),TN,Cheyyar,631701,cheyyar
Dostpur_Bhabbaltola_D (Uttar Pradesh),UP,Dostpur,228161,dostpur
Unnao_Shekhpur_D (Uttar Pradesh),UP,Unnao,209862,unnao
Jamalpur_HalaraVlg_D (West Bengal),WB,Jamalpur,713421,jamalpur
Kazhakkoottam_Rdiosttn_D (Kerala),KL,Kazhakkoottam,695585,kazhakkoottam
Paralakhemundi_Omcolony_D (Orissa),OR,Paralakhemundi,761206,paralakhemundi
Orai_Ajnari_D (Uttar Pradesh),UP,Orai,285202,orai
Karnal_Taraori_D (Haryana),HR,Karnal,132117,karnal
Murtizapur_PatwriColny_DPP (Maharashtra),MH,Murtizapur,444107,murtizapur
PortBlair_Nayagon_D (Andaman & Nicobar),AN,Port Blair,744106,port blair
Delhi_UdhyogNgr_R (Delhi),DL,Delhi,110052,delhi
Chaibasa_NewClnyTungri_D (Jharkhand),JH,Chaibasa,833202,chaibasa
Kayamkulam_Peringala_D (Kerala),KL,Kayamkulam,690102,kayamkulam
Kuttiady_ValayannoorMasjid_D (Kerala),KL,Kuttiady,673515,kuttiady
Gajraula_JawaharN_D (Uttar Pradesh),UP,Gajraula,244225,gajraula
Akola_Central_D_1 (Maharashtra),MH,Akola,444004,akola
Pathanamthitta_Mangaram_D (Kerala),KL,Pathanamthitta,689666,pathanamthitta
Howrah_Shibpur_C (West Bengal),WB,Bally,712247,bally
Ayoor_Anchal_D (Kerala),KL,Ayoor,691532,ayoor
Goa_Porvorim_D (Goa),GA,Panjim,403501,panjim
BD_Dhaka_Banani_P (Dhaka-BD),DK,Dhaka-BD,110019,dhaka-bd
Junagadh_DC (Gujarat),GJ,Junagadh,362037,junagadh
Kollam_Kilikollur_D (Kerala),KL,Kollam,691580,kollam
Nagpur_BhagwanNgr_D (Maharashtra),MH,Nagpur,440005,nagpur
Thuckalay_RajamonyHosp_D (Tamil Nadu),TN,Thuckalay,629174,thuckalay
Asansol_SouthDhadka_D (West Bengal),WB,Asansol,713301,asansol
Kangra_Ghurkari_D (Himachal Pradesh),HP,Kangra,176002,kangra
Durg_KohkaRd_D (Chhattisgarh),CG,Durg,490011,durg
Karauli_Agrawalnagar_D (Rajasthan),RJ,Karauli,322203,karauli
Topchanchi_GomhRd_DPP (Jharkhand),JH,Gomoh,828306,gomoh
Thiruvarur_Mannargudi_D (Tamil Nadu),TN,Thiruvarur,614020,thiruvarur
Ratanpura_MubarDPP_D (Uttar Pradesh),UP,Ratanpura,221705,ratanpura
Palakonda_VadaiDPP_D (Andhra Pradesh),AP,Palakonda,532440,palakonda
Madurai_Ganpatinagar_D (Tamil Nadu),TN,Madurai,625008,madurai
Kadaba_AnugrDPP_D (Karnataka),KA,Kadaba,574221,kadaba
Chhibramau_TajpurRd_D (Uttar Pradesh),UP,Chhibramau,209720,chhibramau
Jaora_AdityaNagar_D (Madhya Pradesh),MP,Jaora,457336,jaora
Pondicherry_Abishegapakkam_D (Pondicherry),PU,Pondicherry,607402,pondicherry
Sikar_Phagalwa_D (Rajasthan),RJ,Sikar,332026,sikar
Simrahi_Bazar_D (Bihar),BR,Simrahi Bazar,852105,simrahi bazar
Perumbavoor_Vattakattupady_D (Kerala),KL,Perumbavoor,683557,perumbavoor
Junagarh_Dharmagarh_D (Orissa),OR,Junagarh-OR,766016,junagarh-or
Premnagar_Sadakpara_D (Chhattisgarh),CG,Premnagar,497117,premnagar
Perumbavoor_Vattakattupady_D (Kerala),KL,Perumbavoor,683554,perumbavoor
Saraiya_Saraiya_D (Bihar),BR,Saraiya,844111,saraiya
Rameswaram_Thangachimadam_D (Tamil Nadu),TN,Rameswaram,623520,rameswaram
Jorhat_Rajatiagaon_D (Assam),AS,Jorhat,785011,jorhat
Delhi_Shahdara_R (Delhi),DL,Delhi,110095,delhi
Khammam_Pedathnda1_D (Telangana),TS,Khammam,507305,khammam
Malsisar_BsStdDPP_D (Rajasthan),RJ,Malsisar,333025,malsisar
Proddatur_Bollavaram_D (Andhra Pradesh),AP,Proddatur,516309,proddatur
Chanchal_Nayatola_DPP (West Bengal),WB,Chanchal,732123,chanchal
Mirganj_Lalmrkt_D (Bihar),BR,Mirganj,841232,mirganj
Chakulia_Jogipara_D (Jharkhand),JH,Chakulia,832302,chakulia
Bansur_TransportNagar_D (Rajasthan),RJ,Bansur,301416,bansur
Cuddalore_FriendsNgr_D (Tamil Nadu),TN,Cuddalore,607109,cuddalore
Harpanahalli_KHBClny_D (Karnataka),KA,Harpanahalli,583127,harpanahalli
BD_Netrakona_Mokterpara_D (Mymensingh),MS,Netrakona,2440,netrakona
Kundapura_Shankarnarayana_D (Karnataka),KA,Kundapura,576233,kundapura
Domariyaganj_Belgari_D (Uttar Pradesh),UP,Domariyaganj,272195,domariyaganj
shimla (Himachal Pradesh),HP,Shimla,171002,shimla
Thiruvarur_Madappuram_DPP (Tamil Nadu),TN,Thiruvarur,612610,thiruvarur
BD_Dhaka_Banani_P (Dhaka-BD),DK,Tangail,1972,tangail
Siwan_Atarsua_D (Bihar),BR,Siwan,841226,siwan
Mumbai_Chandivali_R (Maharashtra),MH,Mumbai,400075,mumbai
Pune_Dhanori_C (Maharashtra),MH,Pune,411047,pune
Panki_Jarhichowk_D (Jharkhand),JH,Panki,822122,panki
Malihabad_Amanignj_DPP (Uttar Pradesh),UP,Malihabad,227111,malihabad
Kannur_Payyanur_D (Kerala),KL,Kannur,670339,kannur
Loisingha_Omshanticolony_D (Orissa),OR,Loisingha,767068,loisingha
Devadurga_APMC_D (Karnataka),KA,Devadurga,584126,devadurga
Mathura_Govardhan_D (Uttar Pradesh),UP,Mathura,281502,mathura
Vellore_Avrmpalyam_D (Tamil Nadu),TN,Vellore,632008,vellore
Thodupuzha_MtSinaiRd_D (Kerala),KL,Thodupuzha,685587,thodupuzha
Aul_Rasulpur_D (Orissa),OR,Aul,755061,aul
Goa_Margao_D (Goa),GA,Goa,403723,goa
Cochin_Nettoor_D (Kerala),KL,Cochin,682019,cochin
Kushtagi_Karimacolony_DPP (Karnataka),KA,Kushtagi,583237,kushtagi
BD_Dhaka_Banani_P (Dhaka-BD),BA,Barguna,8740,barguna
Bhadohi_Chedibeer_D (Uttar Pradesh),UP,Bhadohi,221409,bhadohi
Pathanamthitta_Mangaram_D (Kerala),KL,Pathanamthitta,689694,pathanamthitta
Anantapur_Narpala_DPP (Andhra Pradesh),AP,Anantapur,515435,anantapur
Erode_SathyRd_DPP (Tamil Nadu),TN,Erode,638115,erode
Attingal_Central_D_2 (Kerala),KL,Attingal,695308,attingal
Siddipet_Repallewada_DPP (Telangana),TS,Siddipet,502108,siddipet
Ghogha_Durgatmple_D (Bihar),BR,Ghogha,813205,ghogha
Kottayam_Muttuchira_D (Kerala),KL,Kottayam,686601,kottayam
Lutunia_Bholenthtmpl_D (West Bengal),WB,Lutunia,721467,lutunia
Jhajjar_Policeline_D (Haryana),HR,Jhajjar,124202,jhajjar
Akaloor_Lakdi_DPP (Kerala),KL,Akaloor,678633,akaloor
SarayAnkil_Fkrbd_D (Uttar Pradesh),UP,Saray Ankil,212214,saray ankil
Ranoli_NH52_DPP (Rajasthan),RJ,Bajore,332403,bajore
Pune_Sutarwadi_C (Maharashtra),MH,Pune,411008,pune
Konta_Blockcolony_D (Chhattisgarh),CG,Konta,494114,konta
Madanapalle_Vayalapadu_D (Andhra Pradesh),AP,Madanapalle,517299,madanapalle
Gaya_Balajinagar_D (Bihar),BR,Gaya,824230,gaya
Shirpur_Nardana_DPP (Maharashtra),MH,Shirpur,425404,shirpur
Dhemaji_Ward6_D (Assam),AS,Dhemaji,787057,dhemaji
Miyanganj_FurkanMarket_DPP (Uttar Pradesh),UP,Miyanganj,241503,miyanganj
BD_Dhaka_Banani_P (Dhaka-BD),DK,Dhaka-BD,100016,dhaka-bd
Chennai_Mogappair_C (Tamil Nadu),TN,Chennai,600054,chennai
Guna_Chilkheda_D (Madhya Pradesh),MP,Guna,473249,guna
LalganjAjhara_HPPump_D (Uttar Pradesh),UP,Lalganj Ajhara,230137,lalganj ajhara
BD_Dhaka_Banani_P (Dhaka-BD),CA,Chandpur-BD,3630,chandpur-bd
Channagiri_Holalkere_D (Karnataka),KA,Channagiri,577526,channagiri
Chandipur_Keshpur_D (Orissa),OR,Chandipur,754292,chandipur
Rairangpur_Ichinda_D (Orissa),OR,Rairangpur,757042,rairangpur
Kekri_LodhaChowk_DPP (Rajasthan),RJ,Kekri,305404,kekri
Naharkatia_JaypurNagar_D (Assam),AS,Naharkatia,786610,naharkatia
Bhopal_Karond_D (Madhya Pradesh),MP,Bhopal,462010,bhopal
Mysuru_VivekanandaNgr_D (Karnataka),KA,Mysore,570004,mysore
Bangalore_Kempegowda_C (Karnataka),KA,Bangalore,560030,bangalore
BD_Sylhet_Zindabazar_D (Sylhet),SH,Sylhet,3130,sylhet
BD_Dhaka_Banani_P (Dhaka-BD),DK,Munshiganj,1552,munshiganj
Bhimavaram_Gunupudi_D (Andhra Pradesh),AP,Bhimavaram,534244,bhimavaram
Assaigoli_Manjanady_D (Karnataka),KA,Assaigoli,574153,assaigoli
DeraBassi_Saidpura_D (Punjab),PB,Dera Bassi,140203,dera bassi
Rajapalayam_Madathuppatti_D (Tamil Nadu),TN,Rajapalayam,626145,rajapalayam
Karimganj_Andharibond_D (Assam),AS,Karimganj,788723,karimganj
Nellore_Inamadagudu_D (Andhra Pradesh),AP,Nellore,524366,nellore
Thakurmunda_Khuntaposi_DPP (Orissa),OR,Thakurmunda,757079,thakurmunda
Basti_Maharajganj_D (Uttar Pradesh),UP,Basti,272128,basti
Mahwa_Allapur_D (Rajasthan),RJ,Mahwa,321613,mahwa
BD_Sylhet_Zindabazar_D (Sylhet),SH,Sylhet,3122,sylhet
Cochin_Edavanakkad_D (Kerala),KL,Cochin,682509,cochin
Mumbai_GavraiPada_C (Maharashtra),MH,Mumbai,401201,mumbai
Sathupally_Ayyagaripeta_D (Telangana),TS,Sathupally,507164,sathupally
BD_Dhaka_Banani_P (Dhaka-BD),RP,Gaibandha,5740,gaibandha
Tadipatri_Kondapuram_D (Andhra Pradesh),AP,Tadipatri,516444,tadipatri
Khadda_Siswa_DPP (Uttar Pradesh),UP,Khadda,274801,khadda
Murshidabad_Jiaganj_D (West Bengal),WB,Murshidabad,742113,murshidabad
Repalle_Ward7_D (Andhra Pradesh),AP,Repalle,522262,repalle
Bagha_Samalsar_D (Punjab),PB,Bagha purana,142038,bagha purana
Kauriram_Sonbarsa_DPP (Uttar Pradesh),UP,Sohgaura,273413,sohgaura
Chamoli_Karnaprayag_D (Uttarakhand),UK,Chamoli,246440,chamoli
Akaloor_Lakdi_DPP (Kerala),KL,Akaloor,678573,akaloor
Madhuban_Gayatripuram_DPP (Uttar Pradesh),UP,Madhuban,221602,madhuban
Sankaran_Kovil_D (Tamil Nadu),TN,Sankarankovil,627724,sankarankovil
Orai_Ajnari_D (Uttar Pradesh),UP,Orai,285001,orai
Kozhikode_Karuvissery_D (Kerala),KL,Kozhikode,673303,kozhikode
Surat_Bhatha_D (Gujarat),GJ,Surat,394517,surat
Balrampur_Utraula_D (Uttar Pradesh),UP,Balrampur,271605,balrampur
Chimakurthy_Siddavari_D (Andhra Pradesh),AP,Chimakurthy,523263,chimakurthy
SawaiMadhopur_Kherda_D (Rajasthan),RJ,Sawai Madhopur,322022,sawai madhopur
Ghosi_Jamalpur_D (Uttar Pradesh),UP,Ghosi,275305,ghosi
Jorhat_Rajatiagaon_D (Assam),AS,Jorhat,785007,jorhat
Delhi_Ghazipur_R (Delhi),DL,Delhi,110031,delhi
Khanakul_Antngr_D (West Bengal),WB,Khanakul,711412,khanakul
Chandikhol_Gandhichhak_D (Orissa),OR,Chandikhol,755044,chandikhol
Davangere_Industrialarea_D (Karnataka),KA,Davangere,577004,davangere
Bailhongal_Azadnagar_D (Karnataka),KA,Bailhongal,591121,bailhongal
KalolHP_CsdCanteen_DPP (Himachal Pradesh),HP,KalolHP,174017,kalolhp
Hatta_Gourishankar_D (Madhya Pradesh),MP,Hatta,470775,hatta
Umreth_PltinumPlza_DPP (Gujarat),GJ,Umreth,388225,umreth
Palakkad_Kallekad_D (Kerala),KL,Palakkad,678594,palakkad
Karwar_Sadashivgad_D (Karnataka),KA,Karwar,581352,karwar
Arrah_Giddha_D (Bihar),BR,Arrah,802314,arrah
Kottarakkara_MythriNagar_D (Kerala),KL,Kottarakkara,691522,kottarakkara
Nalbari_Chokbazar_D (Assam),AS,Nalbari,781351,nalbari
BD_Dhaka_Banani_P (Dhaka-BD),RP,Lalmonirhat,5530,lalmonirhat
Tekari_BaheliyaBigha_D (Bihar),BR,Tekari,824207,tekari
Gadag_TajNagar_D (Karnataka),KA,Gadag,582115,gadag
Coimbatore_Vellakinar_C (Tamil Nadu),TN,Coimbatore,641028,coimbatore
Thakurganj_ThanaColony_D (Bihar),BR,Thakurganj,855106,thakurganj
Mandya_Dc (Karnataka),KA,Mandya,571403,mandya
Manuguru_AshokN_D (Telangana),TS,Manuguru,507125,manuguru
Madurai_Pethaniyapuram_D (Tamil Nadu),TN,Madurai,625234,madurai
Yadgir_Balajinagar_D (Karnataka),KA,Yadgir,585321,yadgir
BD_Rangpur_Jcmpny_D (Rangpur),RP ,Rangpur,5400,rangpur
Bhavnagar_Chitra_I (Gujarat),GJ,Bhavnagar,364241,bhavnagar
Cumbum_BhrthiyarNgr_D (Tamil Nadu),TN,Cumbum,625515,cumbum
Jalgaon_Erandol_D (Maharashtra),MH,Jalgaon,425105,jalgaon
Kollam_Kilikollur_D (Kerala),KL,Kollam,691602,kollam
Chandigarh_Raiprkln_C (Chandigarh),PB,Mohali,160079,mohali
Athani_Kanaknagar_D (Karnataka),KA,Athani,591248,athani
Madurai_Ganpatinagar_D (Tamil Nadu),TN,Madurai,625706,madurai
Koyilandy_Muchukunnu_D (Kerala),KL,Koyilandy,673306,koyilandy
Morena_ViharClny_D (Madhya Pradesh),MP,Morena,476219,morena
Kamarpukur_ChatiDPP_D (West Bengal),WB,Kamarpukur,712612,kamarpukur
Surendranagar_GIDC_D (Gujarat),GJ,Surendranagar,363001,surendranagar
Siyana_Khnprstand_D (Uttar Pradesh),UP,Siyana,245401,siyana
Mandi_Behna_D (Himachal Pradesh),HP,Mandi,175006,mandi
BD_Khulna_SIRoad_D (Khulna),KH,Khulna,9280,khulna
Bhadrak_Central_D_2 (Orissa),OR,Bhadrak,756181,bhadrak
Kuthuparamba_IdstrlAr_D (Kerala),KL,Kuthuparamba,670693,kuthuparamba
Phusro_Gumia_DPP (Jharkhand),JH,Gumia,825315,gumia
BD_Dhaka_Banani_P (Dhaka-BD),RP,Nilphamari,5320,nilphamari
Haveri_ManjunathNagar_D (Karnataka),KA,Haveri,581128,haveri
BD_Dhaka_Banani_P (Dhaka-BD),KH,Kushtia,7003,kushtia
Vansda_Chikatiya_D (Gujarat),GJ,Vansda,394248,vansda
Anjumoorthy_Vdaknchery_D (Kerala),KL,Anjumoorthy,678682,anjumoorthy
Ghatanji_ShivajiChowk_DPP (Maharashtra),MH,Ghatanji,445301,ghatanji
Karukachal_Nedumkunam_D (Kerala),KL,Karukachal,686541,karukachal
Visakhapatnam_Samatanagar_D (Andhra Pradesh),AP,Visakhapatnam,530030,visakhapatnam
BD_Dhaka_Banani_P (Dhaka-BD),MS,Sherpur,2013,sherpur
Malappuram_Munduprm_D (Kerala),KL,Malappuram,676513,malappuram
Tiruvalla_Peringara_D (Kerala),KL,Tiruvalla,689115,tiruvalla
Chennai_Guindy_C (Tamil Nadu),TN,Chennai,600061,chennai
Aruppukkottai_Kanjnykknpti_D (Tamil Nadu),TN,Aruppukkottai,626115,aruppukkottai
Benipatti_Basopatti_DPP (Bihar),BR,Benipatti,847240,benipatti
Maheshkhunt_PashchimTola_D (Bihar),BR,Maheshkhunt,851203,maheshkhunt
Kozhikode_Velliparamba_D (Kerala),KL,Kozhikode,673024,kozhikode
Melur_MduraiRD_D (Tamil Nadu),TN,Melur,625114,melur
Gudalur_1stMile_D (Tamil Nadu),TN,Gudalur,643253,gudalur
Haripad_Sivakripa_D (Kerala),KL,Haripad,690531,haripad
Kayamkulam_Peringala_D (Kerala),KL,Kayamkulam,690547,kayamkulam
Rourkela (Orissa),OR,Rourkela,769015,rourkela
Arakkonam_Ramdasnagar_D (Tamil Nadu),TN,Arakkonam,631003,arakkonam
Koira_Bhanjapali_D (Orissa),OR,Birmitrapur,770048,birmitrapur
Birpur_Basantpur_D (Bihar),BR,Birpur,854340,birpur
BD_Sunamganj_Moynar_D (Sylhet),SH,Sunamganj,3000,sunamganj
Venkatagirikota_Mulbaal_D (Andhra Pradesh),AP,Venkatagirikota,517415,venkatagirikota
Guntur_AutoNagar_D (Andhra Pradesh),AP,Guntur,522509,guntur
Rudrapur_Daanpur_D (Uttarakhand),UK,Rudrapur,263148,rudrapur
Pregnapur_Tharakaramanagar_D (Telangana),TS,Pregnapur,502301,pregnapur
Bareilly_Sindhunagar_D (Uttar Pradesh),UP,Bareilly,243123,bareilly
Kanchipuram_ThrvllvrNgr_D (Tamil Nadu),TN,Kanchipuram,631502,kanchipuram
Viluppuram_GenjiRd_D (Tamil Nadu),TN,Viluppuram,607107,viluppuram
Khambhat_MotvdDPP_D (Gujarat),GJ,Khambhat,388620,khambhat
Garhshankar_BangaRoad_D (Punjab),PB,Garhshanker,146105,garhshanker
Adampur_Gzipur_D (Punjab),PB,Adampur,144102,adampur
Hanskhali_Ashrampara_D (West Bengal),WB,Hanskhali,741505,hanskhali
Chandigarh_Raiprkln_C (Chandigarh),CH,Chandigarh,160018,chandigarh
Sankarapuram_Thanipadi_D (Tamil Nadu),TN,Sankarapuram,606753,sankarapuram
Domkal_StateBank_D (West Bengal),WB,Domkal,742306,domkal
BD_Dhaka_Banani_P (Dhaka-BD),CA,Chattogram-BD,4224,chattogram-bd
Mandya_Srirangapatna_D (Karnataka),KA,Mandya,571477,mandya
Dhubri_Tetultol_D (Assam),AS,Dhubri,783303,dhubri
Thuckalay_RajamonyHosp_D (Tamil Nadu),TN,Thuckalay,629167,thuckalay
Narnaul_MamrajColony_D (Haryana),HR,Narnaul,301713,narnaul
Ahmedabad_Odhavestate_C (Gujarat),GJ,Ahmedabad,382410,ahmedabad
Dindigul_Batlagundu_D (Tamil Nadu),TN,Dindigul,624211,dindigul
DakshinBarasat_Baharu_DPP (West Bengal),WB,Dakshin Barasat,743337,dakshin barasat
Khed_TulshiCmplx_D (Maharashtra),MH,Khed,415722,khed
Kollam_Kilikollur_D (Kerala),KL,Kollam,691011,kollam
Rohtak_IndustrialArea_D (Haryana),HR,Rohtak,124401,rohtak
Gadarwara_MPward_D (Madhya Pradesh),MP,Gadarwara,487770,gadarwara
Kannur_Payyanur_D (Kerala),KL,Kannur,670337,kannur
Agra_Jaupura1_R (Uttar Pradesh),UP,Agra,282005,agra
BD_Dhaka_Banani_P (Dhaka-BD),DK ,Gazipur,1706,gazipur
Solapur_Mohol_D (Maharashtra),MH,Solapur,413248,solapur
Dwarahat_Chaukhutiya_DPP (Uttarakhand),UK,Dwarahat,263656,dwarahat
Barpeta_ShaktiNagar_C (Assam),AS,Barpeta,781315,barpeta
Kumarganj_Kurebhar_D (Uttar Pradesh),UP,Kumarganj,224209,kumarganj
Surat_Brpc (Gujarat),GJ,Surat,394327,surat
Nepanagar_Ward4_D (Madhya Pradesh),MP,Nepanagar,450881,nepanagar
Bhuj_Madhapar_D (Gujarat),GJ,Bhuj,370105,bhuj
Puri_HariharNagar_D (Orissa),OR,Puri,752006,puri
Ramtek_ShivajiWard_D (Maharashtra),MH,Ramtek,441914,ramtek
BD_Dhaka_Banani_P (Dhaka-BD),BA,Patuakhali,8623,patuakhali
Vatadara_Banejda_DPP (Gujarat),GJ,Vatadara,388590,vatadara
DakshinBarasat_Baharu_DPP (West Bengal),WB,Dakshin Barasat,743391,dakshin barasat
Kuchaikote_Bhathwaparshuram_D (Bihar),BR,Kuchaikote,841425,kuchaikote
Renwal_BajrangNagar_D (Rajasthan),RJ,Renwal,341507,renwal
Aklera_Mangta_D (Rajasthan),RJ,Aklera,326003,aklera
Jiyanpur_GorkhpurRd_D (Uttar Pradesh),UP,Jiyanpur,276124,jiyanpur
Parippally_Chvarcode_D (Kerala),KL,Parippally,695143,parippally
Chhata_Krishnacolony_D (Uttar Pradesh),UP,Chhata,281404,chhata
Khambhalia_Dharampur_D (Gujarat),GJ,Khambhalia,361010,khambhalia
Cuttack_KhanNgr_D (Orissa),OR,Cuttack,753051,cuttack
Muzaffarpur_Kurhani_D (Bihar),BR,Muzaffarpur,844127,muzaffarpur
Balikuda_Balisahi_D (Orissa),OR,Balikuda,754107,balikuda
Prithvipur_JeronRd_DPP (Madhya Pradesh),MP,Prithvipur,472336,prithvipur
Nalgonda_UdipiHotel_D (Telangana),TS,Nalgonda,508001,nalgonda
Bilara_Jaitaran_DPP (Rajasthan),RJ,Bilara,306308,bilara
Surat_Brpc (Gujarat),GJ,Surat,394180,surat
BKothakota_RTCStop_D (Andhra Pradesh),AP,B Kothakota,517370,b kothakota
Zawlnuam_Bawrai_D (Mizoram),MZ,Zawlnuam,796471,zawlnuam
Lucknow_NarpatKheraP_D (Uttar Pradesh),UP,Lucknow,226303,lucknow
Kaliachak_LICDPP_D (West Bengal),WB,Kaliachak,732127,kaliachak
Sivaganga_Wardno3_D (Tamil Nadu),TN,Sivaganga,630556,sivaganga
Bhadrak_Central_D_2 (Orissa),OR,Bhadrak,756114,bhadrak
Bansur_TransportNagar_D (Rajasthan),RJ,Bansur,301412,bansur
Bangriposi_Majigan_D (Orissa),OR,Bangriposi,757051,bangriposi
Hyderabad_Gudimalkapur_C (Telangana),TS,Hyderabad,500104,hyderabad
BD_Dhaka_Banani_P (Dhaka-BD),DK,tangail,1997,tangail
Joypul_Maniktala_D (West Bengal),WB,Joypul,743272,joypul
Pune_Dhanori_C (Maharashtra),MH,Pune,411012,pune
Nazirpur_Thanarpara_D (West Bengal),WB,Nazirpur,741165,nazirpur
Chhapra_Ramnagar_D (Bihar),BR,Chhapra,841414,chhapra
Angul_Durgavihar_D (Orissa),OR,Angul,759144,angul
Satara_Ambedkarnagar_D (Maharashtra),MH,Satara,415004,satara
Palion_MndiPthankotRd_DPP (Himachal Pradesh),HP,Palion,176204,palion
Gampalagudem_Kanumuru_DPP (Andhra Pradesh),AP,Gampalagudem,521403,gampalagudem
Banka_Barahat_DPP (Bihar),BR,Banka,813103,banka
Chhapra_Ramnagar_D (Bihar),BR,Chhapra,841301,chhapra
Kolkata_Belghoria_C (West Bengal),WB,Kolkata,700159,kolkata
