key,value
ap-kovvur,534350:534342:534303:534340:534343:534351:534302:534301:535202:534305,ap-kovvur,8622
ap-koyyuru,533436:531087,,
ap-kudair,515711:515751,,
ap-kukanoor,507114:534444,,
ap-kuppam,517425:517426:517423,ap-kuppam,8570
ap-kurnool,518218:518003:518466:518217:518001:518005:518216:518004:518452:518467:518007:518006:518018:518010:518002,ap-kurnool,8518
ap-kurupam,535594:535534:535523,,
ap-macherla,522421:522439:522613:522426:522612,,
ap-machilipatnam,521126:521131:521149:521255:521002:521003:521369:521150:521133:521001:521331:521366:521162,,
ap-madakasira,515271:515301:515305:515306:515303:515291:515311:515321,ap-madakasira,8493
ap-madanapalle,517326:517237:517350:517299:517330:517297:517305:517325:517352:517235:517291:517319:517280:517236:517277,,
ap-mandapeta,533223:533234:533238:533229:533345:533342:533237:533261:533307:533340:533264:533235:533341:533309:533308:533228:533346:533233:533236:533232,,
ap-mantada,521246:521163:521256:521250,,
ap-markapur,523326:523305:523205:523315:523316:523304:523332:523320:523371:523329:523330,ap-markapur,8596
ap-martur,523301:523260,,
ap-mudigubba,515511:515154:515159,,
ap-mylavaram,521230:521229:521228,ap-mylavaram,8659
ap-nallajerla,534176:534111:534112,,
ap-nandigama,521180:521182:521183:521185,ap-nandigama,8678
ap-nandikotkur,518432:518401:518411:518412:518405,ap-nandikotkur,8513
ap-nandyal,518593:518674:518112:518503:518512:518523:518501:518511:518502,ap-nandyal,8514
ap-narasannapeta,532425:532421:532429:532432:532427:532474:532430,,
ap-narasaraopet,533226:522601:522549:524408:522603:522617:522661:522408:524407,,
ap-narsapur,534281:534280:534275:533251,ap-narsapur,8458
ap-narsipatnam,531117:531116:531084:531085:531113:531118:531114:531115,ap-narsipatnam,8932
ap-nellore,524005:524366:524001:524320:524344:524313:524137:524003:524311:524346:524318:524323:524315:524004:524316:524321:524002:524347:524314:524152,ap-nellore,861
ap-nuzvid,521123:521207:521211:521201:521111:521202:521144,,
ap-ongole,523280:523262:523272:523211:523182:522608:523001:523186:523002:523286:523183,ap-ongole,8592
ap-paderu,531077:531024:531029,ap-paderu,8935
ap-pakala,517130:517112:517152:517124:517126,ap-pakala,8585
ap-palakollu,534260:534268:534267:534269:534266,,
ap-palakonda,532190:532440:532461:532455:532445:532462:532460:532443,,
ap-palamaner,517432:517408,,
ap-palasa,532242:532211:532222:532219:532221:532212:532220:532218:532243,,
ap-pamarru,521156:521138:521158:521157:521135:521136:521132:521390:521332:521247,,
ap-pamuru,523108:524236:524227:523110,ap-pamuru,8490
ap-parvathipuram,535501:535525:535522:532501:535521:535463:535524:535502:535526:535527,ap-parvathipuram,8963
ap-pedabayalu,531040,,
ap-pedapadu,521105:521110:521321:521106:534437:521109,,
ap-pendurthi,535183:531173:535240,,
ap-penugonda,534324:534122:534326:534123:534126,,
ap-penukonda,515122:515164:515124:515110:515123,ap-penukonda,8557
ap-piduguralla,522614:522615:522435:522437:522413:522411,ap-piduguralla,8649
ap-pileru,517172:517192:517213:517123:517113:517194:517234:517193:517214,,
ap-podili,523241:523246:523247:523240:523252,ap-podili,8499
ap-polavaram,534315,ap-polavaram,8811
ap-proddatur,516434:516432:516319:516309:516223:518145:516173:516439:516362:516356:516311:516431:516310:516172:516175:516312:516355:516433:516360:516203:516289,ap-proddatur,8564
ap-pulivendula,516349:516391:516484:516421:516396:516390:516401,,
ap-punganur,517247:517417:517257:517414,ap-punganur,8581
ap-puttaparthi,515134:515144:515133,,
ap-puttur-ap,517571:517592:517590:517586:517583:517643:517582:517591:517581:517587:517589:517551:517584,,
ap-rajahmundry,533124:533101:533293:533106:533103:533102:533107:533296:533126:533104:533105:533297:533294:533503:533125:533291,,
ap-rajam,532148:532122:535102:535126:535124:532127,,
ap-rajampet,516126:516107:516150:516131:516151:516128:516116:516115:516127,,
ap-rampachodavaram,533288,ap-rampachodavaram,8864
ap-ranastalam,532409:532407,,
ap-rayachoti,516130:516214:516257:516270:516504:516269:516215,ap-rayachoti,8561
ap-rayadurgam,515871:515865:515863:515867,,
ap-razole,533252:533249:533250:533244:533242:533248:533247:533253:533240:533254,ap-razole,8862
ap-repalle,522259:522262:522258:522263:522264:522265:522256:522268:522324:522257,ap-repalle,8648
ap-s kota,535145:535250:535221:535148:535160,,
ap-salur,535592:535578:532591:535579:535593:535591:532579,,
ap-samarlakota,533460:533450:533440:533437:533434:533433,,
ap-sattenapalle,522402:522409:522410:522412:522403:522401,,
ap-seetharampram,535161:535281,,
ap-singarayakonda,523104:523274:523292:523101,,
ap-sirvella,518573:518510:518563:518583,,
ap-sompeta,532284:532322:532292:532263:532290:532264:532291,ap-sompeta,8947
ap-srikakulam,532404:532403:532168:532484:532185:532410:532123:532402:532005:532001:532186:532408:532405:532401,ap-srikakulam,8942
ap-srikalahasti,524134:517619:517640:517642:517641:517621:524132:524404:517620:517644:517536,,
ap-srisailam,518102:518101,ap-srisailam,8524
ap-sullurupeta,524121,,
ap-sunkara palem,533463:533220:533464,,
ap-tada,517588:517541:524401:517646,,
ap-tadepalligudem,534145:534196:534166:534165:534411:534406:534101:534416:534102:534197:534146:534407,ap-tadepalligudem,8818
ap-tadikonda,522236:522237:522018:522016,,
ap-tadipatri,515445:516444:515415:516380:516454:515414:515413:515465:516464:515411:516474,ap-tadipatri,8558
ap-tanuku,534217:534320:534339:534330:534328:534216:534331:534218:534227:534222:534156:534134:534124:534211:534329:534225:534215,ap-tanuku,8819
ap-tekkali,532195:532215:532201:532203,,
ap-tenali,522306:522301:522304:522202:522325:522213:522313:522203:522261:522308:522307:522330:522201:522211,ap-tenali,8644
ap-tirupati,517102:517520:517507:517561:517502:517501:517503:517504:517506:517101:517505:517526,,
ap-udayagiri,524226:524230:524222:524310,,
ap-uravakonda,515812:515870:515832:515822,ap-uravakonda,8496
ap-velgodu,518508:518513:518533,,
ap-vempalli,516321:516330:516329:516350:516339:516259:516218,,
ap-venkatagirikota,517415:517424:517401,,
ap-vidyanagar,524411:524415:524403:524413,,
ap-vijayawada,521108:521137:520008:520040:521134:521139:521225:520012:520001:520004:521241:520006:521153:520007:520002:520011:520014:520010:522008:521212:520005:521456:521151:520015:520013:520003:520016:520009,ap-vijayawada,866
ap-vinukonda,522646:522657:522647:522660:522659:522649,ap-vinukonda,8646
ap-visakhapatnam,530053:530007:530035:530009:530030:531019:530016:530048:530023:530045:530002:530014:530049:530006:530008:530041:530027:530012:530001:530019:530010:530046:530022:530011:530032:530013:530004:530025:530026:530015:530003:530024:530037:530043:530021:530017:530044:530020:530040:530005:530018:530029:530028,ap-visakhapatnam,891
ap-vissannapetaa,521226:521227:521213:521215:521214,,
ap-vizianagaram,535002:535217:535006:535214:535280:535003:535004:535218:535215:535005:535001,,
ap-vuyyuru,521164:521245:521261:521165,ap-vuyyuru,8676
ap-yellamanchili,531055:531060,,
ap-yemmiganur,518360:518464:518462:518350:518345:518343:518463,,
ap-yerragonda palem,523327:523328,,
ar-aalo,791001,,
ar-basar,791101,,
ar-bhalukpong,790114,,
ar-boleng,791103,,
ar-bomdila,790116:790003:790001,,
ar-bordumsa,786174:792056,,
ar-changlang,792120,,
ar-chowkham,792102:792111,,
ar-daporijo,791122,,
ar-deomali,792129,,
ar-dirang,790101,,
ar-hayuliang,792104,,
ar-itanagar,791113:791112:791111:791109:791123,,
ar-jairampur,792121:792123,,
ar-kalaktang,790002,,
ar-kharsang,792122,,
ar-khonsa,792130,,
ar-likabali,791125,,
ar-longding,792131,,
ar-naharlagun,791110,,
ar-namsai,792105:792103,,
ar-pasighat,791102:791104,,
ar-roing,792110,,
ar-sagalee,791114,,
ar-seppa,790102,,
ar-tawang,790104,,
ar-tezu,792001,,
ar-yazali,791119,,
ar-yingkiong,791002,,
ar-ziro,791120,,
as-agomani,783335,,
as-baihata,781354:781101:781121:781366:781365:781380:781381:781367:781382:781376,,
as-barpeta,781318:781315:781316:781301:781317:781313:781352:781308:781314,,
as-behali,784179:784171:784170:784166,,
as-bhaga,788113:788114:788120:788112,,
as-bijni,783390,as-bijni,3668
as-bilasipara,783348:783349:783351,as-bilasipara,3667
as-biswanathch,784167:784174:784184:784176:784177:784175,,
as-bokajan,782480:782490,as-bokajan,3675
as-bokakhat,785699:785615:785612:785609,as-bokakhat,3776
as-boko,783130:781136:781135:781127:783123:781129:781123,as-boko,3621
as-bokolia,782482,,
as-bongaigaon,783388:783384:783383:783385:783381:783380,,
as-chabua,786184:786183:786185:786102:786189,,
as-chapar,783389:783371,,
as-chaparmukh,782103:782425,,
