state,key,value
AP,sompeta,8947,AP,sompeta,532284:532322:532292:532263:532290:532264:532291
AP,srikakulam,8942,AP,srikakulam,532404:532403:532168:532484:532185:532410:532123:532402:532005:532001:532186:532408:532405:532401
AP,srisailam,8524,AP,srisailam,518102:518101
AP,tadepalligudem,8818,AP,tadepalligudem,534145:534196:534166:534165:534411:534406:534101:534416:534102:534197:534146:534407
AP,tadipatri,8558,AP,tadipatri,515445:516444:515415:516380:516454:515414:515413:515465:516464:515411:516474
AP,tanuku,8819,AP,tanuku,534217:534320:534339:534330:534328:534216:534331:534218:534227:534222:534156:534134:534124:534211:534329:534225:534215
AP,tenali,8644,AP,tenali,522306:522301:522304:522202:522325:522213:522313:522203:522261:522308:522307:522330:522201:522211
AP,uravakonda,8496,AP,uravakonda,515812:515870:515832:515822
AP,vijayawada,866,AP,vijayawada,521108:521137:520008:520040:521134:521139:521225:520012:520001:520004:521241:520006:521153:520007:520002:520011:520014:520010:522008:521212:520005:521456:521151:520015:520013:520003:520016:520009
AP,vinukonda,8646,AP,vinukonda,522646:522657:522647:522660:522659:522649
AP,visakhapatnam,891,AP,visakhapatnam,530053:530007:530035:530009:530030:531019:530016:530048:530023:530045:530002:530014:530049:530006:530008:530041:530027:530012:530001:530019:530010:530046:530022:530011:530032:530013:530004:530025:530026:530015:530003:530024:530037:530043:530021:530017:530044:530020:530040:530005:530018:530029:530028
AP,vuyyuru,8676,AP,vuyyuru,521164:521245:521261:521165
AS,bijni,3668,AS,bijni,783390
AS,bilasipara,3667,AS,bilasipara,783348:783349:783351
AS,bokajan,3675,AS,bokajan,782480:782490
AS,bokakhat,3776,AS,bokakhat,785699:785615:785612:785609
AS,boko,3621,AS,boko,783130:781136:781135:781127:783123:781129:781123
AS,dhakuakhana,3758,AS,dhakuakhana,787053:787055
AS,dhemaji,3753,AS,dhemaji,787057:787058
AS,dhubri,3662,AS,dhubri,783324:783303:783323:783310:783331:783302:783339:783307:783320:783325:783301:783312:783321
AS,dibrugarh,373,AS,dibrugarh,786004:786006:786008:786003:786005:786010:786012:786001:786007:786002
AS,digboi,3751,AS,digboi,786171:786173
AS,diphu,3671,AS,diphu,782461:782460:782462
AS,goalpara,3663,AS,goalpara,783125:783124:781320:783126:783120:783134:783122:783382:783121:783101
AS,gohpur,3715,AS,gohpur,784168:784178:784172
AS,golaghat,3774,AS,golaghat,785622:785621:782475:785705:785613:785702:785610:785641:782470:785603:786121:785625:785623
AS,guwahati,361,AS,guwahati,781013:781034:781005:781026:781014:781019:781003:781006:781010:781007:781012:781016:781002:781128:781032:781015:781036:781008:781028:781025:781035:781150:781011:781020:781027:781037:781039:781171:781132:781031:781029:781001:781021:781038:781122:781017:781125:781024:781018:781033:781040:781009:781004:781068:781022:781130:781030
AS,haflong,3673,AS,haflong,788819
AS,hailakandi,3844,AS,hailakandi,788163:788167:788162:788161:788151:788164:788155:788156:788150:788160:788165:788169:788152:788168
AS,hajo,3664,AS,hajo,781102:781104:781126:781103:781350
AS,hojai,3674,AS,hojai,782429:782439:782435:782445:782485
AS,howraghat,3676,AS,howraghat,782441:782481
AS,jorhat,376,AS,jorhat,785005:785002:785631:785014:785011:785007:785630:785003:785012:785018:785632:785016:785101:785634:785633:785010:785004:785001:785704:785006:785616:785013:785620:785009:785635:785113:785008:785015:785111
AS,karimganj,3843,AS,karimganj,788702:788713:788723:788711:788805:788706:788701:788803:788722:788712:788801:788802:788709:788720:788710:788806:788719
AS,kokrajhar,3661,AS,kokrajhar,783376:783394:783373:783372:783369:783370
AS,majuli,3775,AS,majuli,785105:785104:785110:785106:785102
AS,mangaldoi,3713,AS,mangaldoi,784528:784525:784116:784526:784145:784148:784190:784522:784529:784521:781364:784115:784125:784144:784147:784146
AS,moranhat,3754,AS,moranhat,785669:786613:785675:785676:785673:785670
AS,morigaon,3678,AS,morigaon,782106:782403:782127:782411:782412:782108:782121:782410:782413:782104:782105
